0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
spark_energy_J;spark_peak_voltage_V;spark_peak_current_A;spark_voltage_std_V;ignition_delay_s;ignition_success;max_EGT_rise_rate_Kps;time_to_stable_s;peak_chamber_pressure_bar;mean_chamber_pressure_bar;vibration_peak_amplitude_Pa;vibration_rms_Pa;vibration_dominant_freq_Hz;EGT_std_K;pressure_std_bar;combustion_efficiency;igniter_health_percent;rul_cycles;electrode_wear_percent;spark_efficiency;igniter_resistance_ohm;spark_decay_rate;rul_class_name;rul_label;ATA_chapter;ATA_subchapter;AMM_reference;CS25_compliance;airworthiness_directive;maintenance_action;task_card;MEL_dispatch_status;MEL_category;deferral_allowed;max_deferral_cycles;sample_id;sample_name;fault_mode_name;fault_label
422.373.873.611.787;212.113.739.010.293;189.908.403.558.244;226.710.137.707.535;NaN;0;0;NaN;150.831.125.469.668;133.266.579.091.991;0;0;0;399.555.781.286.316;0.171892313173453;0;951.712.247.450.094;453;0;0.889731839795312;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;403;1;normal_00001;normal;0
296.875.735.909.796;17.783.106.440.777;159.214.644.474.793;190.068.334.510.885;NaN;0;0;NaN;150.757.111.675.912;133.167.017.167.176;0;0;0;36.734.256.865.452;0.171678957808999;0;987.981.581.907.254;496;0;0.888787864506596;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;446;2;normal_00002;normal;0
39.176.013.663.161;204.282.139.385.083;182.896.662.644.759;218.339.614.243.162;0.000437480581545913;1;275.017.677.412.472;NaN;165.711.957.450.577;139.583.135.704.968;387.904.177.829.953;834.163.121.428.812;100.919.304.690.715;466.709.319.591.441;0.216849591344796;0.0153445961784419;955.807.816.703.006;485;0;101.417.082.453.965;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;435;3;normal_00003;normal;0
377.478.906.041.217;200.524.120.448.314;179.532.055.617.635;214.322.990.922.873;0.000618593439857928;1;284.414.325.458.644;NaN;161.598.782.724.407;137.334.317.304.716;629.338.675.120.749;149.470.101.106.372;138.816.270.121.524;455.297.855.159.842;0.205035123666902;0.0110845408904681;951.946.389.416.201;450;0;0.984012567213342;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;400;4;normal_00004;normal;0
334.106.787.844.784;188.652.656.781.159;168.903.367.803.973;201.634.604.138.837;NaN;0;0;NaN;150.786.396.924.955;133.201.829.588.634;0;0;0;37.930.325.468.142;0.171765674605395;0;95.780.081.197.085;466;0;0.869791630924511;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;416;5;normal_00005;normal;0
430.786.126.433.261;214.215.617.618.089;191.790.244.936.093;228.956.655.028.107;0.000361033085719775;1;295.758.594.115.413;NaN;163.656.240.461.285;138.537.804.835.884;374.428.707.328.725;96.444.553.097.932;149.418.964.344.548;484.619.619.914.154;0.211017769032274;0.0131511634050349;987.989.997.630.123;451;0;101.065.708.159.699;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;401;6;normal_00006;normal;0
340.021.043.194.059;190.315.067.764.968;170.391.747.658.413;203.411.412.302.346;NaN;0;0;NaN;150.756.403.809.818;133.166.226.646.584;0;0;0;367.062.669.204.188;0.171676848698833;0;985.752.125.809.191;455;0;0.949431592879359;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;405;7;normal_00007;normal;0
36.708.014.846.842;197.742.821.016.239;177.041.919.252.931;211.350.299.101.052;NaN;0;0;NaN;150.809.425.728.064;133.232.896.342.663;0;0;0;38.935.396.284.379;0.171832346781015;0;9.928.949.075.905;460;0;0.922376056836859;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;410;8;normal_00008;normal;0
34.531.525.693.323;191.790.971.802.985;171.713.145.230.171;204.988.879.227.699;NaN;0;0;NaN;150.797.231.443.992;133.215.957.983.065;0;0;0;38.394.861.885.602;0.171797295700529;0;990.492.024.761.304;492;0;0.938892707618844;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;442;9;normal_00009;normal;0
292.497.692.575.559;176.514.951.786.757;158.036.310.398.342;188.661.654.892.014;NaN;0;0;NaN;15.079.479.831.754;133.212.715.430.998;0;0;0;382.893.372.629.517;0.171790227293349;0;965.641.190.104.333;475;0;0.887602960596001;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;425;10;normal_00010;normal;0
334.950.511.766.636;188.890.710.006.887;169.116.500.193.561;201.889.038.763.573;NaN;0;0;NaN;150.800.651.729.511;133.220.589.551.234;0;0;0;385.444.548.716.813;0.171807194096467;0;995.735.463.019.829;479;0;0.855738972970274;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;429;11;normal_00011;normal;0
37.459.282.448.124;199.756.078.314.316;178.844.416.730.057;213.502.096.723.485;NaN;0;0;NaN;150.771.806.085.528;133.183.937.156.934;0;0;0;373.245.872.123.076;0.171722630907484;0;992.127.548.053.139;482;0;0.860740079967041;50;4,32E+09;healthy;0;74;74-11;AMM-74-11-00;CS-25.901;None;NORMAL_OPERATION;N/A;GO;N/A;1;432;12;normal_00012;normal;0
